Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
13,Weedle,G,1,,,001/185,,sui,,,5/11/2021
14,Kakuna,G,2,Reverse,,002/185,,Naoyo Kimura,,,8/14/2022
102,Exeggcute,G,1,,,004/185,,hasuno,,,3/5/2021
193,Yanma,G,1,,,006/185,,MAHOU,,,5/11/2021
469,Yanmega,G,3,,,007/185,,Uta,,,5/11/2021
204,Pineco,G,1,Reverse,,008/185,,Tomokazu Komiya,,,8/14/2022
251,Celebi,G,6,,,009/185,,5ban Graphics,,,5/11/2021
274,Nuzleaf,G,2,,,011/185,,otumami,,,3/5/2021
290,Nincada,G,1,,,013/185,,Sekio,,,8/14/2022
291,Ninjask,G,3,Reverse,,014/185,,Tomokazu Komiya,,,5/11/2021
672,Skiddo,G,1,,,017/185,,Saya Tsuruta,,,3/5/2021
673,Gogoat,G,2,Reverse,,018/185,,Mina Nakai,,,3/5/2021
5,Charmeleon,F,2,,,024/185,,SATOSHI NAKAI,,,5/11/2021
218,Slugma,F,1,,,027/185,,Mina Nakai,,,8/14/2022
219,Magcargo,F,2,,,028/185,,Masakazu Fukuda,,,8/14/2022
320,Wailmer,W,1,,,031/185,,Yukiko Baba,,,5/11/2021
501,Oshawott,W,1,,,033/185,,nogimiso,,,8/14/2022
846,Arrokuda,W,1,,,041/185,,Hitoshi Ariga,,,8/14/2022
845,Cramorant,W,2,,,040/185,,Sanosuke Sakuma,,,8/7/2021
100,Voltorb,El,1,,,045/185,,Sekio,,,5/11/2021
181,Ampharos V,El,5,,,049/185,,Ryuta Fuse,,,8/14/2022
522,Blitzle,El,1,Reverse,,053/185,,Saya Tsuruta,,,8/14/2022
523,Zebstrika,El,2,,,054/185,,0313,,,5/11/2021
602,Tynamo,El,1,,,057/185,,sowsow,,,5/11/2021
603,Eelektrik,El,2,Reverse,,058/185,,Masakazu Fukuda,,,8/14/2022
871,Pincurchin,El,2,,,062/185,,Kouki Saitou,,,5/11/2021
35,Clefairy,P,1,,,063/185,,HYOGONOSUKE,,,5/11/2021
203,Girafarig,P,2,,,065/185,,sowsow,,,8/14/2022
353,Shuppet,P,1,Reverse,,067/185,,Miki Tanaka,,,8/7/2021
354,Banette,P,3,,,068/185,,kodama,,,8/14/2022
355,Duskull,P,1,Reverse,,069/185,,nogimiso,,,5/11/2021
356,Dusclops,P,2,,,070/185,,Kazuma Koda,,,5/11/2021
358,Chimecho,P,1,,,072/185,,Asako Ito,,,8/14/2022
527,Woobat,P,1,,,073/185,,sui,,,5/11/2021
528,Swoobat,P,2,,,074/185,,Kagemaru Himeno,,,8/14/2022
702,Dedenne,P,1,,,077/185,,Yuka Morii,,,8/14/2022
868,Milcery,P,1,,,080/185,,Kouki Saitou,,,8/14/2022
194,Wooper,Fg,1,,,083/185,,Mina Nakai,,,8/14/2022
213,Shuckle,Fg,2,Reverse,,085/185,,Mizue,,,8/14/2022
237,Hitmontop,Fg,2,,,088/185,,Sanosuke Sakuma,,,8/14/2022
447,Riolu,Fg,1,Reverse,,090/185,,ryoma uratsuka,,,8/14/2022
529,Drilbur,Fg,1,,,091/185,,Yuka Morii,,,5/11/2021
639,Terrakion,Fg,3,,,092/185,,NC Empire,,,8/14/2022
744,Rockruff,Fg,1,,,094/185,,Eri Yamaki,,,8/7/2021
745,Lycanroc,Fg,3,,,095/185,,Anesaki Dynamic,,,5/11/2021
852,Clobbopus,Fg,1,,,100/185,,Misa Tsutsui,,,3/5/2021
261,Poochyena,D,1,,,103/185,,ryoma uratsuka,,,8/7/2021
262,Mightyena,D,2,,,104/185,,Aya Kusube,,,8/14/2022
551,Sandile,D,1,,,107/185,,Poni Kobayashi,,,8/14/2022
553,Krookodile,D,3,,,109/185,,Ryuta Fuse,,,8/14/2022
568,Trubbish,D,1,,,110/185,,Kyoko Umemoto,,,5/11/2021
569,Garbodor,D,3,,,111/185,,Hasuno,,,5/11/2021
52,Meowth,Sl,1,,Galarian,112/185,,Kouki Saitou,,,5/11/2021
863,Perrserker,Sl,3,Galarian,,113/185,,Shin Nagasawa,,,8/7/2021
374,Beldum,Sl,1,,,116/185,,Aya Kusube,,,8/14/2022
376,Metagross,Sl,3,,,118/185,,kawayoo,,,3/5/2021
530,Excadrill,Sl,2,,,122/185,,Anesaki Dynamic,,,8/14/2022
597,Ferroseed,Sl,1,,,123/185,,HYOGONOSUKE,,,8/14/2022
276,Tailow,N,1,,,133/185,,Yuka Morii,,,5/11/2021
277,Swellow,N,1,,,134/185,,kodama,,,5/11/2021
441,Chatot,N,1,,,139/185,,0313,,,3/5/2021
731,Pikipek,N,1,,,143/185,,Yukiko Baba,,,8/7/2021
732,Trumbeak,N,2,,,144/185,,tetsuya koizumi,,,8/14/2022
T,Bea,Su,2,Reverse,,147/185,,take,,,8/14/2022
T,Circhester Bath,S,2,,,150/185,,5ban Graphics,,,8/14/2022
T,Drone Rotom,I,2,,,151/185,,5ban Graphics,,,8/14/2022
T,Hero's Medal,I,2,,,152/185,,Toyste Beach,,,5/11/2021
T,League Staff,Su,2,,,153/185,,Emi Ando,,,5/11/2021
T,Memory Capsule,I,2,,,155/185,,,3/5/2021
T,Nessa,Su,2,,,157/185,,,8/7/2021
T,Coating Energy,Sl,2,,,163/185,,,5/11/2021
T,Wash Energy,W,2,,,165/185,,,8/14/2022
