Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
11,Metapod,G,2,,,4/83,,kawayoo,,,7/20/2019
46,Paras,G,1,,,6/83,,Aya Kusube,,,7/20/2019
126,Magmar,F,1,,,16/83,,Hideki Ishikawa,,,7/20/2019
98,Krabby,W,1,,,21/83,,kirisAki,,,7/20/2019
25,Pikachu,El,1,,,26/83,,Atsuko Nishida,,,7/20/2019
92,Gastly,P,1,,,33/83,,kodama,,,7/20/2019
93,Haunter,P,2,,,34/83,,Midori Harada,,,7/20/2019
35,Clefairy,Fa,1,,,50/83,,Shibuzoh.,,,7/20/2019
122,Mr. Mime,Fa,2,,,52/83,,kirisAki,,,7/20/2019
T,Evosoda,I,2,,,62/83,,5ban Graphics,,,8/6/2019
26,Raichu,El,1,,Radiant Collection,RC9/RC32,,Aya Kusube,,,7/20/2019
