Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
347,Anorith,Fg,2,,,26/108,,Midori Harada,Tattered,,8/20/2019,XXXXXX
332,Cacturne,D,2,,,27/108,,Ken Sugimori,,,8/20/2019,XXXXXX
256,Combusken,F,2,,,29/108,,Atsuko Nishida,,,8/20/2019,XXXXXX
331,Cacnea,G,1,,,46/108,,Hajime Kusajima,,,8/20/2019,XXXXXX
4,Charmander,F,1,,,48/108,,Sachiko Adachi,,,8/20/2019,XXXXXX
355,Duskull,P,1,,,50/108,,Ken Sugimori,,,,85049
307,Meditite,Fg,1,,,55/108,,Midori Harada,,,,87283
261,Poochyena,D,1,,,58/108,,Midori Harada,,,8/20/2019,XXXXXX
280,Ralts,P,1,,,59/108,,Midori Harada,Yes,,,88560
300,Skitty,N,1,,,62/108,,Tomokazu Komiya,,,8/20/2019,XXXXXX
287,Slakoth,N,1,,,63/108,,Tomokazu Komiya,,,8/20/2019,XXXXXX
363,Spheal,W,1,,,65/108,,Ken Sugimori,,,,89447
328,Trapinch,Fg,1,,,68/108,,Sachiko Adachi,,,8/20/2019,XXXXXX
T,Sidney's Stadium,S,2,,,82/108,,Ryo Ueda,,,,89203
