Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
357,Tropius,G,3,,,27/107,,Miki Tanaka,Used,,8/20/2019
326,Grumpig,P,2,,,32/107,,Ken Sugimori,Used,,8/20/2019
274,Nuzleaf,G,2,,,43/107,,Kouki Saitou,Used,,8/20/2019
374,Beldum,P,1,,,55/107,,Hisao Nakamura,Used,,8/20/2019
296,Makuhita,Fg,1,,,65/107,,Asuka Iwashita,Used,,8/20/2019
177,Natu,P,1,,,66/107,,Yuka Morii,Scratched,,7/20/2019
261,Poochyena,D,1,,,70/107,,Aimi Tomita,,,
218,Slugma,F,1,,,75/107,,Midori Harada,Used,,8/20/2019
333,Swablu,N,1,,,79/107,,Kyoko Umemoto,Used,,8/20/2019
T,Crystal Shard,T,2,,,85/107,,Jungo Suzuki,,,
