Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
127,Pinsir,,3,,,24/92,,Mitsuhiro Arita,,
327,Spinda,,3,,,26/92,,Motofumi Fujiwara,,
347,Anorith,,2,,,29/92,,Atsuko Nishida,,
70,Weepinbell,,2,,,47/92,,Katsura Tabata,,
69,Bellsprout,,1,,,49/92,,Midori Harada,,
74,Geodude,,1,,,53/92,,Miki Tanaka,,
345,Lileep,,1,,,56/92,,Atsuko Nishida,,
T,Fieldworker,Su,2,,,73/92,,Ken Sugimori,,
T,Strange Cave,S,2,,,77/92,,Ryo Ueda,,
T,Claw Fossil,T,1,,,78/92,,Ryo Ueda,,
T,Root Fossil,T,1,,,80/92,,Ryo Ueda,,
T,React Energy,E,2,,,82/92,,Takumi Akabane,,
